"line_size" "n" "get_order_1" "get_order_2"
64 10000 0.439 0.408
64 50000 2.746 2.371
64 100000 5.968 4.992
64 200000 14.589 10.318
64 500000 47.343 28.101
64 800000 90.487 45.671
64 1000000 114.376 57.44
64 200 0.005 0.005
64 500 0.014 0.018
64 1000 0.03 0.033
64 5000 0.195 0.194
64 10000 0.493 0.392
64 50000 2.693 2.321
64 100000 5.741 4.776
64 200000 14.405 10.538
64 500000 48.779 30.281
64 800000 87.138 44.864
64 1000000 113.287 57.305
128 200 0.005 0.007
128 500 0.014 0.014
128 1000 0.031 0.035
128 5000 0.266 0.249
128 10000 0.458 0.409
128 50000 2.844 2.396
128 100000 7.808 5.131
128 200000 18.338 10.911
128 500000 58.545 28.646
128 800000 104.966 46.567
128 1000000 132.036 59.092
128 200 0.005 0.006
128 500 0.014 0.014
128 1000 0.03 0.035
128 5000 0.207 0.2
128 10000 0.45 0.401
128 50000 2.809 2.359
128 100000 7.281 4.981
128 200000 18.141 10.605
128 500000 57.503 29.749
128 800000 100.355 47.162
128 1000000 129.001 59.597
128 200 0.005 0.007
128 500 0.014 0.015
128 1000 0.031 0.036
128 5000 0.21 0.194
128 10000 0.501 0.409
128 50000 2.933 2.41
128 100000 6.813 5.032
128 200000 18.13 11.03
128 500000 56.752 28.661
128 800000 103.37 47.163
128 1000000 135.312 59.005
128 200 0.005 0.007
128 500 0.014 0.015
128 1000 0.03 0.035
128 5000 0.208 0.192
128 10000 0.457 0.48
128 50000 2.814 2.427
128 100000 6.751 4.936
128 200000 17.856 10.361
128 500000 55.395 29.433
128 800000 103.817 46.841
128 1000000 129.789 58.716
128 200 0.005 0.007
128 500 0.014 0.014
128 1000 0.031 0.035
128 5000 0.221 0.192
128 10000 0.462 0.411
128 50000 2.885 2.361
128 100000 7.564 5.007
128 200000 18.365 10.639
128 500000 59.547 29.267
128 800000 102.606 46.432
128 1000000 132.502 60.143
128 200 0.005 0.007
128 500 0.014 0.015
128 1000 0.06 0.036
128 5000 0.21 0.192
128 10000 0.502 0.411
128 50000 3.007 2.359
128 100000 7.412 5.169
128 200000 18.597 10.728
128 500000 58.224 29.421
128 800000 102.514 46.768
128 1000000 133.437 59.704
256 200 0.006 0.009
256 500 0.015 0.015
256 1000 0.033 0.031
256 5000 0.222 0.188
256 10000 0.479 0.417
256 50000 3.335 2.383
256 100000 8.536 5.167
256 200000 21.79 11.222
256 500000 63.093 29.769
256 800000 110.875 48.35
256 1000000 141.561 59.845
256 200 0.006 0.009
256 500 0.015 0.014
256 1000 0.032 0.03
256 5000 0.221 0.184
256 10000 0.48 0.411
256 50000 3.299 2.463
256 100000 9.501 5.242
256 200000 21.484 10.863
256 500000 65.058 30.779
256 800000 113.822 47.958
256 1000000 145.618 60.254
256 200 0.006 0.009
256 500 0.015 0.015
256 1000 0.032 0.03
256 5000 0.295 0.185
256 10000 0.475 0.467
256 50000 3.3 2.382
256 100000 9.009 5.351
256 200000 22.407 11.208
256 500000 64.398 29.71
256 800000 114.131 49.906
256 1000000 143.763 60.814
256 200 0.006 0.009
256 500 0.015 0.014
256 1000 0.032 0.03
256 5000 0.218 0.337
256 10000 0.471 0.409
256 50000 3.234 2.409
256 100000 8.539 5.273
256 200000 21.35 10.761
256 500000 64.007 29.282
256 800000 110.585 47.835
256 1000000 145.376 60.27
256 200 0.006 0.009
256 500 0.015 0.015
256 1000 0.032 0.03
256 5000 0.22 0.184
256 10000 0.477 0.411
256 50000 3.364 2.68
256 100000 8.962 5.269
256 200000 21.786 11.091
256 500000 65.238 29.144
256 800000 113.314 47.852
256 1000000 144.358 60.684
256 200 0.006 0.009
256 500 0.015 0.015
256 1000 0.031 0.03
256 5000 0.218 0.191
256 10000 0.471 0.408
256 50000 3.229 2.39
256 100000 8.329 5.458
256 200000 22.664 11.203
256 500000 62.271 28.88
256 800000 111.112 47.531
256 1000000 142.268 61.02
512 200 0.026 0.007
512 500 0.034 0.028
512 1000 0.059 0.071
512 5000 0.245 0.194
512 10000 0.509 0.411
512 50000 4.089 2.605
512 100000 10.1 5.366
512 200000 25.499 11.755
512 500000 72.088 29.822
512 800000 125.423 49
512 1000000 155.928 62.234
512 200 0.007 0.008
512 500 0.017 0.015
512 1000 0.037 0.031
512 5000 0.232 0.194
512 10000 0.503 0.462
512 50000 4.243 2.501
512 100000 10.449 5.649
512 200000 24.567 11.181
512 500000 70.105 29.969
512 800000 125.976 50.074
512 1000000 157.482 62.477
512 200 0.005 0.006
512 500 0.015 0.015
512 1000 0.035 0.03
512 5000 0.229 0.195
512 10000 0.488 0.412
512 50000 3.983 2.529
512 100000 9.441 5.411
512 200000 23.949 11.193
512 500000 71.253 30.522
512 800000 122.191 50.513
512 1000000 155.745 62.03
512 200 0.005 0.006
512 500 0.015 0.014
512 1000 0.035 0.03
512 5000 0.229 0.191
512 10000 0.49 0.406
512 50000 4.181 2.62
512 100000 9.942 5.473
512 200000 25.1 11.289
512 500000 69.628 30.473
512 800000 122.779 50.594
512 1000000 155.924 64.43
512 200 0.006 0.007
512 500 0.015 0.014
512 1000 0.034 0.031
512 5000 0.229 0.196
512 10000 0.532 0.412
512 50000 4.035 2.649
512 100000 9.786 5.467
512 200000 22.728 11.891
512 500000 82.712 32.526
512 800000 130.473 52.808
512 1000000 155.56 62.954
512 200 0.006 0.006
512 500 0.015 0.014
512 1000 0.035 0.031
512 5000 0.33 0.195
512 10000 0.493 0.413
512 50000 4.049 2.557
512 100000 10.245 5.409
512 200000 24.101 11.382
512 500000 81.66 33.112
512 800000 130.749 53.67
512 1000000 156.59 64.062
1024 200 0.006 0.006
1024 500 0.016 0.016
1024 1000 0.036 0.034
1024 5000 0.234 0.197
1024 10000 0.538 0.414
1024 50000 4.692 2.611
1024 100000 11.307 5.652
1024 200000 25.598 11.395
1024 500000 72.889 31.611
1024 800000 129.295 50.458
1024 1000000 166.347 63.852
1024 200 0.006 0.006
1024 500 0.017 0.016
1024 1000 0.036 0.034
1024 5000 0.315 0.195
1024 10000 0.713 0.417
1024 50000 4.526 2.582
1024 100000 11.011 5.559
1024 200000 26.703 11.518
1024 500000 74.475 30.544
1024 800000 134.078 50.328
1024 1000000 169.128 67.566
1024 200 0.006 0.006
1024 500 0.017 0.016
1024 1000 0.037 0.034
1024 5000 0.242 0.2
1024 10000 0.6 0.428
1024 50000 4.902 2.619
1024 100000 11.199 5.523
1024 200000 26.722 11.911
1024 500000 77.904 30.106
1024 800000 131.988 50.142
1024 1000000 166.807 67.562
1024 200 0.006 0.006
1024 500 0.017 0.016
1024 1000 0.036 0.034
1024 5000 0.24 0.2
1024 10000 0.571 0.564
1024 50000 4.661 2.688
1024 100000 10.372 5.633
1024 200000 25.948 11.895
1024 500000 74.069 30.567
1024 800000 130.865 50.892
1024 1000000 167.662 64.279
1024 200 0.006 0.006
1024 500 0.017 0.016
1024 1000 0.037 0.034
1024 5000 0.235 0.196
1024 10000 0.597 0.414
1024 50000 4.658 2.635
1024 100000 10.525 5.588
1024 200000 26.372 11.983
1024 500000 72.793 30.875
1024 800000 129.827 53.043
1024 1000000 165.207 64.732
1024 200 0.006 0.006
1024 500 0.016 0.016
1024 1000 0.036 0.033
1024 5000 0.234 0.193
1024 10000 0.54 0.417
1024 50000 4.713 2.659
1024 100000 10.885 5.778
1024 200000 26.505 11.339
1024 500000 73.856 30.698
1024 800000 130.018 52.026
1024 1000000 165.573 64.248
2048 200 0.007 0.006
2048 500 0.018 0.016
2048 1000 0.039 0.034
2048 5000 0.269 0.201
2048 10000 0.682 0.449
2048 50000 5.505 2.758
2048 100000 12.853 5.551
2048 200000 31.415 12.604
2048 500000 80.927 30.65
2048 800000 141.524 49.895
2048 1000000 183.289 64.765
2048 200 0.007 0.007
2048 500 0.017 0.016
2048 1000 0.038 0.033
2048 5000 0.308 0.198
2048 10000 0.661 0.452
2048 50000 5.097 2.656
2048 100000 12.127 5.481
2048 200000 28.005 11.373
2048 500000 80.288 32.756
2048 800000 141.68 50.421
2048 1000000 179.613 63.914
2048 200 0.006 0.006
2048 500 0.018 0.016
2048 1000 0.038 0.033
2048 5000 0.27 0.199
2048 10000 0.669 0.448
2048 50000 5.423 2.595
2048 100000 12.677 5.561
2048 200000 28.55 11.651
2048 500000 89.979 35.358
2048 800000 143.215 51.491
2048 1000000 184.905 63.612
2048 200 0.006 0.006
2048 500 0.017 0.016
2048 1000 0.038 0.037
2048 5000 0.267 0.202
2048 10000 0.655 0.449
2048 50000 5.453 2.656
2048 100000 12.054 5.577
2048 200000 27.512 11.78
2048 500000 78.457 31.322
2048 800000 139.521 49.586
2048 1000000 179.046 64.785
2048 200 0.007 0.006
2048 500 0.017 0.016
2048 1000 0.039 0.033
2048 5000 0.279 0.2
2048 10000 0.733 0.443
2048 50000 5.305 2.8
2048 100000 12.301 5.478
2048 200000 28.784 11.526
2048 500000 81.421 30.64
2048 800000 141.575 50.941
2048 1000000 181.727 63.858
2048 200 0.007 0.006
2048 500 0.04 0.034
2048 1000 0.064 0.059
2048 5000 0.311 0.438
2048 10000 0.7 0.449
2048 50000 5.445 2.732
2048 100000 12.243 5.752
2048 200000 28.734 11.524
2048 500000 80.249 30.652
2048 800000 145.695 50.739
2048 1000000 185.191 64.507
4096 200 0.007 0.006
4096 500 0.019 0.016
4096 1000 0.042 0.034
4096 5000 0.335 0.21
4096 10000 0.9 0.46
4096 50000 6.612 2.648
4096 100000 14.286 5.536
4096 200000 34.628 11.475
4096 500000 90.533 30.617
4096 800000 159.007 51.11
4096 1000000 211.16 64.907
